Čas;Celé meno;Kontext udalosti;Komponent;Názov udalosti;Pôvod
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:10;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:10;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený formulár pre riešenia zadania.;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Súbory odovzdaných zadaní;Bolo vytvorené riešenie zadania.;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Súbory odovzdaných zadaní;Súbor bol nahraný;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Zadanie;Zadanie bolo odoslané;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Zadanie;Používateľ prijal prehlásenie o odovzdanom zadaní.;web
13.10.2020 13:11;student01;Zadanie: Prípady použitia;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený formulár pre riešenia zadania.;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Zadanie bolo odoslané;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Používateľ prijal prehlásenie o odovzdanom zadaní.;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Súbory odovzdaných zadaní;Používateľ aktualizoval svoje zadanie.;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Súbory odovzdaných zadaní;Súbor bol nahraný;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 13:29;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
15.10.2020 18:28;student01;Anketa: Presun piatkovej prednasky;Anketa;Zobrazené moduly kurzu;web
15.10.2020 18:29;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
15.10.2020 18:29;student01;Anketa: Presun piatkovej prednasky;Anketa;Zobrazené moduly kurzu;web
19.10.2020 19:15;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
19.10.2020 19:15;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
20.10.2020 19:25;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
20.10.2020 19:25;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
20.10.2020 20:13;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
20.10.2020 20:13;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
20.10.2020 20:13;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený formulár pre riešenia zadania.;web
20.10.2020 20:13;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Zadanie;Používateľ prijal prehlásenie o odovzdanom zadaní.;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Súbory odovzdaných zadaní;Bolo vytvorené riešenie zadania.;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Súbory odovzdaných zadaní;Súbor bol nahraný;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
20.10.2020 20:14;student01;Zadanie: Doménový model;Zadanie;Zadanie bolo odoslané;web
27.10.2020 9:20;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:22;student01;Anketa: Presun piatkovej prednasky;Anketa;Zobrazené moduly kurzu;web
27.10.2020 9:22;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:22;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
27.10.2020 9:22;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
27.10.2020 9:27;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:27;student01;Stránka: Harmonogram;Stránka;Zobrazené moduly kurzu;web
27.10.2020 9:27;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:27;student01;Stránka: Harmonogram;Stránka;Zobrazené moduly kurzu;web
27.10.2020 9:27;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:28;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
27.10.2020 9:28;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:28;student01;Test: Záverečný teoretický test;Test;Zobrazené moduly kurzu;web
27.10.2020 9:28;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
27.10.2020 9:28;student01;Stránka: Harmonogram;Stránka;Zobrazené moduly kurzu;web
27.10.2020 9:29;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
29.10.2020 2:04;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;ws
29.10.2020 2:05;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;ws
29.10.2020 2:05;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;ws
2.11.2020 14:02;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 14:02;student01;Súbor: MySQL workbench;Zdroj;Zobrazené moduly kurzu;web
2.11.2020 14:02;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
2.11.2020 14:02;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 14:08;student01;Súbor: MySQL workbench;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
2.11.2020 18:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 18:34;student01;Adresár: Ako správne písať prípady použitia;Adresár;Zobrazené moduly kurzu;web
2.11.2020 18:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 18:34;student01;Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS;Zdroj;Zobrazené moduly kurzu;web
2.11.2020 18:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 18:42;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
2.11.2020 18:42;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
2.11.2020 18:42;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 18:42;student01;Zadanie: Doménový model;Zadanie;Bol zobrazený stav riešenia zadania.;web
2.11.2020 18:42;student01;Zadanie: Doménový model;Zadanie;Zobrazené moduly kurzu;web
2.11.2020 18:42;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 18:42;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
2.11.2020 18:42;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
2.11.2020 18:47;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 19:00;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
2.11.2020 19:00;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 19:00;student01;Test: Záverečný teoretický test;Test;Zobrazené moduly kurzu;web
2.11.2020 19:00;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 19:00;student01;Test: Test - externisti;Test;Zobrazené moduly kurzu;web
2.11.2020 19:00;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
2.11.2020 19:01;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
2.11.2020 19:01;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 8:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 8:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 8:15;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
3.11.2020 8:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 9:16;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 9:16;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
3.11.2020 9:17;student01;Test: Priebežný test;Test;Zobrazený pokus testu;web
3.11.2020 9:17;student01;Test: Priebežný test;Test;Zahájený pokus;web
3.11.2020 9:53;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 9:54;student01;Stránka: Požiadavky na vedomosti pre skúškový test;Stránka;Zobrazené moduly kurzu;web
3.11.2020 9:54;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 9:54;student01;Adresár: Ako správne písať prípady použitia;Adresár;Zobrazené moduly kurzu;web
3.11.2020 9:54;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 10:15;student01;Adresár: Analýza požiadaviek (IBM);Adresár;Zobrazené moduly kurzu;web
3.11.2020 10:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 10:15;student01;Adresár: Ako správne písať prípady použitia;Adresár;Zobrazené moduly kurzu;web
3.11.2020 10:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 10:15;student01;Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS;Zdroj;Zobrazené moduly kurzu;web
3.11.2020 10:15;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
3.11.2020 10:55;student01;Test: Priebežný test;Test;Zobrazený súhrn pokusov testu;web
3.11.2020 10:55;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
3.11.2020 10:55;student01;Test: Priebežný test;Test;Odoslaný pokus testu;web
3.11.2020 10:55;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 13:47;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 13:47;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
9.11.2020 13:47;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 13:48;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
9.11.2020 13:48;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 13:49;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 13:50;student01;Súbor: sparxkeystoreservice;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 13:58;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 13:59;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;URL;Zobrazené moduly kurzu;web
9.11.2020 13:59;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 13:59;student01;Súbor: kluce;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
9.11.2020 13:59;student01;Súbor: kluce;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
9.11.2020 13:59;student01;Súbor: kluce;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:00;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;URL;Zobrazené moduly kurzu;web
9.11.2020 14:01;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:01;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:07;student01;URL: EA tutorial;URL;Zobrazené moduly kurzu;web
9.11.2020 14:07;student01;URL: Enterprise Architect  - YouTube Channel ;URL;Zobrazené moduly kurzu;web
9.11.2020 14:10;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:12;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:13;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 14:13;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 15:04;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 15:04;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;URL;Zobrazené moduly kurzu;web
9.11.2020 15:05;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
9.11.2020 15:17;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 15:17;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 15:18;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
9.11.2020 15:18;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 15:20;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
9.11.2020 15:22;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
9.11.2020 15:23;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.11.2020 15:23;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
9.11.2020 15:30;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 10:12;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 10:14;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 10:14;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 10:14;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 10:15;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 10:15;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 10:27;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 10:27;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
10.11.2020 10:27;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 10:28;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 10:28;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 12:19;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 12:19;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 12:19;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený formulár pre riešenia zadania.;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zadanie bolo odoslané;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Používateľ prijal prehlásenie o odovzdanom zadaní.;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Súbory odovzdaných zadaní;Bolo vytvorené riešenie zadania.;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Súbory odovzdaných zadaní;Súbor bol nahraný;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
10.11.2020 12:20;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 12:22;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
10.11.2020 12:22;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Bol zobrazený stav riešenia zadania.;web
10.11.2020 12:22;student01;Zadanie: Wireframe,Prototyp,Mockup;Zadanie;Zobrazené moduly kurzu;web
30.11.2020 0:36;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.11.2020 0:36;student01;Test: Priebežný test;Test;Zobrazené moduly kurzu;web
30.11.2020 0:36;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.11.2020 0:36;student01;Stránka: Požiadavky na vedomosti pre skúškový test;Stránka;Zobrazené moduly kurzu;web
30.11.2020 0:36;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.11.2020 0:36;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
30.11.2020 0:37;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.11.2020 0:37;student01;Stránka: Podmienky pre dokumentáciu projektu;Stránka;Zobrazené moduly kurzu;web
30.11.2020 0:37;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.11.2020 0:37;student01;Súbor: Mystery Shopping - Charakteristika a Zadanie projektu;Zdroj;Zobrazené moduly kurzu;web
30.11.2020 0:37;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.12.2020 17:57;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.12.2020 17:58;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
9.12.2020 17:58;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
9.12.2020 17:58;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
14.12.2020 7:30;student01;Workshop: Odovzdanie projektu;Workshop;Zobrazené moduly kurzu;web
15.12.2020 16:06;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
15.12.2020 16:08;student01;Súbor: Mystery Shopping - Charakteristika a Zadanie projektu;Zdroj;Zobrazené moduly kurzu;web
